userIncorrect,answer3Script,answer1Audio,answer1,answer3,answer2,testDate,isAnswered,testType,id,levelName,directionsAudio,answer3Audio,multiItemID,section,isCorrect,question,userCorrect,questionScript,multiItemQIDs,answer4,test,typeName,questionAudio,type,questionNumber,typeID,levelNumber,multiItem,testNumber,itemAudio,itemScript,correctAnswer,key,answer1Script,directions,sectionNumber,answer4Audio,isMultiItem,answer4Script,level,createdDateTime,sectionName,item,points,answer2Script,userAnswering,answer2Audio
,,,취미,계절,초대,2011-04-17T00:00:00,True,international,40016,Elementary,,,,40014,True,"<div class=""boxedpart"">저는 낚시하는 것을 좋아합니다. 주말마다 낚시를 하러 갑니다.</div>",1,,,장소,22003,read choose topic 3pts,,46001,36,46001,1,,22,,,1,40016,,※ [34~36] 무엇에 대한 이야기입니까? &lt;보기&gt;와 같이 알맞은 것을 고르십시오. (각 3점),4,,False,,31001,2011-07-12T20:07:26,Reading,,3,,True,
,,,저는 과자를 샀습니다.,친구의 생일은 다음 주입니다.,친구가 선물을 주었습니다.,2011-04-17T00:00:00,True,international,40017,Elementary,,,,40014,True,"(4점)
<div class=""boxedpart""><p class=""indent"">
내일은 친구 생일입니다. 
그래서 저는 집에서 과자를 만들었습니다. 
내일 친구에게 선물할 겁니다.
</p></div>",4,,,내일 친구에게 과자를 줄 겁니다.,22003,read choose correct,,38021,44,38021,1,,22,,,4,40017,,※ [44~47] 다음의 내용과 같은 것을 고르십시오.,4,,False,,31001,2011-07-12T20:29:41,Reading,,4,,True,
,,,천천히 걸으면 발이 편합니다.,구두를 신으면 발이 피곤해집니다.,신발을 벗고 걷는 것이 좋습니다.,2011-04-17T00:00:00,,international,40019,Elementary,,,37022,40014,,이 글의 내용과 같은 것을 고르십시오.,,,"[41022L, 40019L]",발을 높게 하고 자면 발이 편해집니다.,22003,read and answer 59-60 4pts,,44012,60,44012,1,37022,22,,,4,40019,,※ [59~60] 다음을 읽고 물음에 답하십시오. (각 4점),4,,True,,31001,2011-07-12T21:13:02,Reading,"<p class=""indent"">
발이 편해야 몸도 편합니다. 
발을 편하게 하려면 어떻게 해야 할까요? 
굽이 낮은 구두나 운동화를 신으십시오. 
( ㉠ ) 걸을 때에는 천천히 걷는 것보다 빠른 걸음으로 걷는 것이 좋습니다. 
( ㉡ ) 가끔 신발을 벗고 있는 것도 좋습니다.
( ㉢ ) 저녁에 발이 피곤하다면 발을 조금 높은 곳에 두고 주무십시오. 
( ㉣ )
</p>",4,,,
,,,"네, 빵이에요.","아니요, 빵을 먹어요.","네, 빵이 맛있어요.",2011-04-17T00:00:00,True,international,41001,Elementary,t22-l1-p3b-q03-d,,,36001,True,(3점),2,"<div class=""dialogue"">남자: 빵이 맛있어요?</div>
<div class=""dialogue"">여자: _____________________________</div>",,"아니요, 빵이 아니에요.",22003,listen and respond,t22-l1-p3b-q03,36002,3,36002,1,,22,,,2,41001,,※ [3~6] 다음을 듣고 &lt;보기&gt;와 같이 물음에 맞는 대답을 고르십시오.,3,,False,,31001,2011-07-11T22:33:54,Listening,,3,,,
,,,일이 있어요.,수요일에 끝나요.,일을 했어요.,2011-04-17T00:00:00,True,international,41002,Elementary,t22-l1-p3b-q03-d,,,36001,True,(3점),3,"<div class=""dialogue"">남자: 언제 일이 끝나요?</div>
<div class=""dialogue"">여자: _____________________________</div>",,학교에서 끝나요.,22003,listen and respond,t22-l1-p3b-q05,36002,5,36002,1,,22,,,3,41002,,※ [3~6] 다음을 듣고 &lt;보기&gt;와 같이 물음에 맞는 대답을 고르십시오.,3,,False,,31001,2011-07-11T22:36:57,Listening,,3,,,
4,,,조금 기다렸어요.,극장에서 기다려요.,동생을 기다려요.,2011-04-17T00:00:00,True,international,41003,Elementary,t22-l1-p3b-q03-d,,,36001,False,(4점),2,"<div class=""dialogue"">여자: 누구를 기다려요?</div>
<div class=""dialogue"">남자: _____________________________</div>",,친구가 기다렸어요.,22003,listen and respond,t22-l1-p3b-q06,36002,6,36002,1,,22,,,2,41003,,※ [3~6] 다음을 듣고 &lt;보기&gt;와 같이 물음에 맞는 대답을 고르십시오.,3,,False,,31001,2011-07-11T22:38:30,Listening,,4,,,
,,,"<img src=""/topik/t22-l1-p3b-q17-1.png"" />","<img src=""/topik/t22-l1-p3b-q17-3.png"" />","<img src=""/topik/t22-l1-p3b-q17-2.png"" />",2011-04-17T00:00:00,True,international,41005,Elementary,t22-l1-p3b-q15-d,,,36001,True,,1,"<div class=""dialogue"">남자: 이 식당은 사람들이 정말 많네요.</div>
<div class=""dialogue"">여자: 유명한 집인 것 같은데 한번 들어가 볼까요?</div>
<div class=""dialogue"">남자: 너무 많이 기다려야 할 것 같으니까 그냥 다른 집으로 가요.</div>",,"<img src=""/topik/t22-l1-p3b-q17-4.png"" />",22003,listen choose picture,t22-l1-p3b-q17,41004,17,41004,1,,22,,,1,41005,,※ [15~17] 다음 대화를 듣고 알맞은 그림을 고르십시오. (각 3점),3,,False,,31001,2011-07-11T23:05:24,Listening,,3,,True,
4,,,안내,계획,감사,2011-04-17T00:00:00,True,international,41007,Elementary,t22-l1-p3b-q25-d,,41006,36001,False,어떤 이야기를 하고 있는지 고르십시오.,1,,"[41007L, 40007L]",약속,22003,listen and answer qs 25/6 3pts,,36007,25,36007,1,41006,22,t22-l1-p3b-q25-i,"<div class=""dialogue"">
남자: 주민 여러분, 안녕하십니까. 우리 주민 센터에 도서관이 새로 
문을 열었습니다. 도서관에서는 소설, 잡지 등 다양한 종류의 책을
주민 여러분께 무료로 빌려 드립니다. 또한 온 가족이 함께 즐길 수 
있는 영화 DVD도 빌려 드립니다. 도서관 이용 시간은 평일 아침 9시부터 
저녁 7시까지이며 주말에는 문을 열지 않습니다. 많은 이용 
부탁드립니다.</div>",1,41007,,※ [25~26] 다음을 듣고 물음에 답하십시오. (각 3점),3,,True,,31001,2011-07-11T23:24:05,Listening,,3,,,
,,,옷을 사려고,옷을 바꾸려고,옷을 주려고,2011-04-17T00:00:00,,international,41010,Elementary,t22-l1-p3b-q29-d,,40011,36001,,‘푸른 가게’에 왜 가려고 합니까?,,,"[41010L, 39008L]",옷을 찾으려고,22003,listen and answer qs 29/30 4pts,,38012,29,38012,1,40011,22,t22-l1-p3b-q29-i,"<div class=""dialogue"">여자: 민수 씨, 그 옷을 다 버리는 거예요?</div>
<div class=""dialogue"">남자: 네. 오래 전에 산 옷들인데 지금은 작아져서 입을 수가 없어요.</div>
<div class=""dialogue"">여자: 그럼 그냥 버리지 말고 사거리에 있는 ‘푸른 가게’로 가져가세요.</div>
<div class=""dialogue"">남자: ‘푸른 가게’가 뭐예요?</div>
<div class=""dialogue"">여자: 거기는 옷을 갖다 주면 다른 사람들에게 그 옷을 다시 싸게 팔아요. 
그리고 옷을 판 돈으로 어려운 사람들을 도와줘요.</div>
<div class=""dialogue"">남자: 그래요? 그럼 더 가지고 갈 게 있는지 찾아봐야겠어요.</div>",2,41010,,※ [29~30] 다음을 듣고 물음에 답하십시오. (각 4점),3,,True,,31001,2011-07-11T23:43:45,Listening,,4,,,
,,,"<img src=""/topik/t22-l1-p4b-q31-1.png"" />","<img src=""/topik/t22-l1-p4b-q31-3.png"" />","<img src=""/topik/t22-l1-p4b-q31-2.png"" />",2011-04-17T00:00:00,,international,41015,Elementary,,,,40014,,"<div class=""boxedpart"">지하철역</a>",,,,"<img src=""/topik/t22-l1-p4b-q31-4.png"" />",22003,read sign choose meaning,,40015,31,40015,1,,22,,,2,41015,,※ [31~33] 다음을 읽고 관계있는 것을 고르십시오. (각 3점),4,,False,,31001,2011-07-12T19:54:02,Reading,,3,,,
,,,예쁩니다,많습니다,없습니다,2011-04-17T00:00:00,True,international,41016,Elementary,,,,40014,True,"(3점)
<div class=""boxedpart"">버스가 ( ). 그래서 택시를 탑니다.</div>",2,,,좋습니다,22003,read insert word,,38018,38,38018,1,,22,,,2,41016,,※ [37~40] &lt;보기&gt;와 같이 ( )에 들어갈 가장 알맞은 것을 고르십시오.,4,,False,,31001,2011-07-12T20:17:52,Reading,,3,,True,
,,,영화를 네 시에 봅니다.,영화는 하나영화관에서 합니다.,토요일에 영화를 봅니다.,2011-04-17T00:00:00,True,international,41017,Elementary,,,,40014,True,"(4점)
<div class=""center""><img src=""/topik/t22-l1-p4b-q42.png"" /></div>",1,,,영화 제목은 ‘겨울 남자’입니다.,22003,read image choose incorrect,,37011,42,37011,1,,22,,,1,41017,,※ [41~43] 다음을 읽고 맞지 <u>않는</u> 것을 고르십시오.,4,,False,,31001,2011-07-12T20:26:13,Reading,,4,,True,
,,,㉠,㉢,㉡,2011-04-17T00:00:00,,international,41022,Elementary,,,37022,40014,,"다음 문장이 들어갈 곳을 고르십시오.
<div class=""boxedpart"">굽이 높은 신발은 발을 더 피곤하게 할 수 있습니다.</div>",,,"[41022L, 40019L]",㉣,22003,read and answer 59-60 4pts,,44012,59,44012,1,37022,22,,,1,41022,,※ [59~60] 다음을 읽고 물음에 답하십시오. (각 4점),4,,True,,31001,2011-07-12T21:13:02,Reading,"<p class=""indent"">
발이 편해야 몸도 편합니다. 
발을 편하게 하려면 어떻게 해야 할까요? 
굽이 낮은 구두나 운동화를 신으십시오. 
( ㉠ ) 걸을 때에는 천천히 걷는 것보다 빠른 걸음으로 걷는 것이 좋습니다. 
( ㉡ ) 가끔 신발을 벗고 있는 것도 좋습니다.
( ㉢ ) 저녁에 발이 피곤하다면 발을 조금 높은 곳에 두고 주무십시오. 
( ㉣ )
</p>",4,,,
,,,가족,나이,이름,,,,42002,,,,,,,"<div class=""dialogue"">가: 누구예요?</div>
<div class=""dialogue"">나: 이 사람은 형이고, 이 사람은 동생이에요.</div>",,,,학생,,,t22-l1-p3b-q12-e,,0,,,,,,,1,42002,,,,,,,,2011-07-11T22:56:02,,,,,,
,,,직업,장소,고향,2011-04-17T00:00:00,True,international,42003,Elementary,t22-l1-p3b-q12-d,,,36001,True,,1,"<div class=""dialogue"">여자: 학생이세요?</div>
<div class=""dialogue"">남자: 아니요. 회사에 다녀요.</div>",,계획,22003,listen choose topic 3pts,t22-l1-p3b-q14,40003,14,40003,1,,22,,,1,42003,,※ [12~14] 다음은 무엇에 대해 말하고 있습니까? &lt;보기&gt;와 같이 알맞은 것을 고르십시오. (각 3점),3,,False,,31001,2011-07-11T22:58:27,Listening,,3,,True,
,,,"<img src=""/topik/t22-l1-p3b-q16-1.png"" />","<img src=""/topik/t22-l1-p3b-q16-3.png"" />","<img src=""/topik/t22-l1-p3b-q16-2.png"" />",2011-04-17T00:00:00,True,international,42004,Elementary,t22-l1-p3b-q15-d,,,36001,True,,4,"<div class=""dialogue"">여자: 저 가수가 부르는 노래는 다 좋네요.</div>
<div class=""dialogue"">남자: 그렇죠? 제가 제일 좋아하는 가수예요.</div>",,"<img src=""/topik/t22-l1-p3b-q16-4.png"" />",22003,listen choose picture,t22-l1-p3b-q16,41004,16,41004,1,,22,,,4,42004,,※ [15~17] 다음 대화를 듣고 알맞은 그림을 고르십시오. (각 3점),3,,False,,31001,2011-07-11T23:04:00,Listening,,3,,,
,,,식당,우체국,빵집,,,,42012,,,,,,,저는 ( )에 갔습니다. 빵을 샀습니다.,,,,도서관,,,,,0,,,,,,,2,42012,,,,,,,,2011-07-12T20:11:42,,,,,,
,,,벌써,처음,가끔,2011-04-17T00:00:00,True,international,42013,Elementary,,,,40014,True,"(3점)
<div class=""boxedpart"">요즘 아주 바쁩니다. 그렇지만 ( ) 등산을 합니다.</div>",2,,,나중에,22003,read insert word,,38018,40,38018,1,,22,,,2,42013,,※ [37~40] &lt;보기&gt;와 같이 ( )에 들어갈 가장 알맞은 것을 고르십시오.,4,,False,,31001,2011-07-12T20:20:19,Reading,,3,,True,
,,,계절의 모습,사람들의 생각,계절의 색깔,2011-04-17T00:00:00,,international,42015,Elementary,,,41021,40014,,㉠에 들어갈 알맞은 말을 고르십시오.,,,"[42015L, 42016L]",사람들의 옷 색깔,22003,read and answer 55-56 3pts,,37019,55,37019,1,41021,22,,,4,42015,,※ [55~56] 다음을 읽고 물음에 답하십시오. (각 3점),4,,True,,31001,2011-07-12T21:02:47,Reading,"<p class=""indent"">
계절이 바뀌면 자연의 색깔이 달라집니다. 
그리고 ( ㉠ )도 달라 집니다. 
봄에는 봄꽃과 비슷한 노란색 옷을, 가을에는 단풍을 닮은 빨간색 옷을 즐겨 입습니다. 
그러나 계절이 바뀌어도 항상 사람들에게 사랑 받는 색깔이 있는데 그것은 바로 흰색입니다.
</p>",3,,,
,,,봄에는 빨간색 옷을 즐겨 입습니다.,계절에 따라 즐겨 입는 옷 색깔이 바뀝니다.,가을에는 흰색 옷을 잘 입지 않습니다.,2011-04-17T00:00:00,,international,42016,Elementary,,,41021,40014,,이 글의 내용과 같은 것을 고르십시오.,,,"[42015L, 42016L]",사람들의 나이에 따라 좋아하는 색깔이 다릅니다.,22003,read and answer 55-56 3pts,,37019,56,37019,1,41021,22,,,3,42016,,※ [55~56] 다음을 읽고 물음에 답하십시오. (각 3점),4,,True,,31001,2011-07-12T21:02:47,Reading,"<p class=""indent"">
계절이 바뀌면 자연의 색깔이 달라집니다. 
그리고 ( ㉠ )도 달라 집니다. 
봄에는 봄꽃과 비슷한 노란색 옷을, 가을에는 단풍을 닮은 빨간색 옷을 즐겨 입습니다. 
그러나 계절이 바뀌어도 항상 사람들에게 사랑 받는 색깔이 있는데 그것은 바로 흰색입니다.
</p>",3,,,
,,,소금이 없으면 음식을 만들기 어렵습니다.,어깨가 아플 때 소금을 사용할 수 있습니다.,소금물로 이를 닦으면 이가 건강해집니다.,2011-04-17T00:00:00,,international,42018,Elementary,,,37020,40014,,이 글의 내용과 같은 것을 고르십시오. (3점),,,"[37021L, 42018L]",감기에 걸렸을 때 소금물을 마시면 좋습니다.,22003,read and answer 57-58,,39016,58,39016,1,37020,22,,,3,42018,,※ [57~58] 다음을 읽고 물음에 답하십시오.,4,,True,,31001,2011-07-12T21:07:43,Reading,"<p class=""indent"">
소금을 많이 넣은 음식은 건강에 좋지 않습니다. 
( ㉠ ) 소금이 우리 생활에서 좋게 사용되는 경우도 있습니다. 
이를 닦을 때 소금물을 사용하면 감기에 쉽게 걸리지 않습니다. 
그리고 어깨가 아플 때는 소금을 뜨겁게 해서 어깨 위에 두면 좋습니다.
</p>",3,,,
,,,만들지 않아요,만들어 주세요,만들지 못해요,2011-04-17T00:00:00,True,international,42021,Elementary,,,36024,31002,True,㉠에 알맞은 것을 고르십시오.,4,,"[42021L, 36025L]",만들고 있어요,22003,passage dialogue 3pts,,42020,25,42020,1,36024,22,,,4,42021,,※ [25～26] 다음을 읽고 물음에 답하십시오. (각 3점),1,,True,,31001,2011-07-12T21:25:02,Vocabulary and Grammar,"<div class=""dialogue"">가: 지금 뭐 해요?</div>
<div class=""dialogue"">나: 책상을 ( ㉠ ). 초등학교에 들어가는 딸에게 주려고요.</div>
<div class=""dialogue"">가: 책상 만드는 거 어렵지 않아요?</div>
<div class=""dialogue"">나 : 좀 ( ㉡ ) 꼭 제가 만들어 주고 싶어요.</div>",3,,,
,,,네. 잘 부탁합니다.,네. 잠깐만 기다리세요.,아니요. 다시 오겠습니다.,2011-04-17T00:00:00,True,international,43001,Elementary,t22-l1-p3b-q07-d,,,36001,True,"<div class=""dialogue"">여자: 실례합니다. 여기 김 선생님 계세요?</div>
<div class=""dialogue"">남자: _____________________________</div>",3,,,아니요. 만나고 싶은데요.,22003,listen and respond 4pts,t22-l1-p3b-q08,42001,8,42001,1,,22,,,3,43001,,※ [7~8] 다음을 듣고 &lt;보기&gt;와 같이 다음 말에 이어지는 것을 고르십시오. (각 4점),3,,False,,31001,2011-07-11T22:45:35,Listening,,4,,True,
,,,도와줍니다,초대합니다,소개합니다,2011-04-17T00:00:00,True,international,43002,Elementary,,,,40014,True,"(4점)
<div class=""boxedpart"">친구가 혼자 청소를 합니다. 친구를 ( ).</div>",1,,,잊어버립니다,22003,read insert word,,38018,39,38018,1,,22,,,1,43002,,※ [37~40] &lt;보기&gt;와 같이 ( )에 들어갈 가장 알맞은 것을 고르십시오.,4,,False,,31001,2011-07-12T20:19:01,Reading,,4,,,
,,,백화점,기숙사,주차장,2011-04-17T00:00:00,True,international,44001,Elementary,t22-l1-p3b-q09-d,,,36001,True,(4점),1,"<div class=""dialogue"">남자: 남자 옷은 어디에 있어요?</div>
<div class=""dialogue"">여자: 3층으로 올라가세요.</div>",,미용실,22003,listen choose setting,t22-l1-p3b-q11,39003,11,39003,1,,22,,,1,44001,,※ [9~11] 여기는 어디입니까? &lt;보기&gt;와 같이 알맞은 것을 고르십시오.,3,,False,,31001,2011-07-11T22:52:57,Listening,,4,,,
,,,친구,취미,선물,2011-04-17T00:00:00,True,international,44002,Elementary,t22-l1-p3b-q12-d,,,36001,True,,2,"<div class=""dialogue"">여자: 생일에 뭘 받고 싶어요?</div>
<div class=""dialogue"">남자: 지갑을 받고 싶어요.</div>",,약속,22003,listen choose topic 3pts,t22-l1-p3b-q12,40003,12,40003,1,,22,,,2,44002,,※ [12~14] 다음은 무엇에 대해 말하고 있습니까? &lt;보기&gt;와 같이 알맞은 것을 고르십시오. (각 3점),3,,False,,31001,2011-07-11T22:56:03,Listening,,3,,,
,,,남자는 사전을 하나 더 샀습니다.,남자는 여자에게 사전을 사 주었습니다.,여자는 사전을 돌려주려고 왔습니다.,2011-04-17T00:00:00,True,international,44003,Elementary,t22-l1-p3b-q18-d,,,36001,True,(4점),4,"<div class=""dialogue"">남자: 수미 씨, 어제 부탁한 사전 가져왔어요?</div>
<div class=""dialogue"">여자: 네. 여기 있어요.</div>
<div class=""dialogue"">남자: 고마워요. 언제 돌려주면 돼요?</div>
<div class=""dialogue"">여자: 저는 사전이 하나 더 있으니까 천천이 주세요.</div>",,여자는 남자에게 사전을 빌려 주었습니다.,22003,listen pick matching content,t22-l1-p3b-q21,42005,21,42005,1,,22,,,4,44003,,※ [18~22] 다음을 듣고 &lt;보기&gt;와 같이 대화 내용과 같은 것을 고르십시오.,3,,False,,31001,2011-07-11T23:14:30,Listening,,4,,True,
,,,여기는 물이 없어요.,여기에서 물을 사세요.,여기는 물이 비싸요.,2011-04-17T00:00:00,True,international,44005,Elementary,,,,40014,True,"<div class=""boxedpart"">물 마시는 곳</a>",4,,,여기에서 물을 드세요.,22003,read sign choose meaning,,40015,32,40015,1,,22,,,4,44005,,※ [31~33] 다음을 읽고 관계있는 것을 고르십시오. (각 3점),4,,False,,31001,2011-07-12T19:57:09,Reading,,3,,True,
,,,치마,사과,우유,2011-04-17T00:00:00,True,international,44007,Elementary,,,,40014,True,"(3점)
<div class=""boxedpart"">과일 가게에 갑니다. ( )를 삽니다.</div>",3,,,종이,22003,read insert word,,38018,37,38018,1,,22,,,3,44007,,※ [37~40] &lt;보기&gt;와 같이 ( )에 들어갈 가장 알맞은 것을 고르십시오.,4,,False,,31001,2011-07-12T20:16:23,Reading,,3,,,
,,,신청은 5월 말까지 해야 합니다.,수영 교실은 일주일에 한 번 있습니다.,어린이 수영 교실은 오래되었습니다.,2011-04-17T00:00:00,,international,44011,Elementary,,,38025,40014,,이 글의 내용과 같은 것을 고르십시오.,,,"[38026L, 44011L]",신청 서류는 ‘남산스포츠센터’에 와서 내야 합니다.,22003,read and answer 53-54 3pts,,37018,54,37018,1,38025,22,,,1,44011,,※ [53~54] 다음을 읽고 물음에 답하십시오. (각 3점),4,,True,,31001,2011-07-12T20:58:43,Reading,"<div class=""center"">( ).</div>
<p class=""indent"">
7월에 문을 여는 ‘남산스포츠센터’ 어린이 수영 교실에서는 친절한 수영 선생님이 필요합니다. 
어린이에게 수영을 가르쳐 본 경험이 있어야 합니다. 
수업은 매주 수요일과 토요일 오후에 있습니다. 
관심이 있으신 분은 5월 31일까지 신청 서류를 이메일(swim@namsan.com)로 보내시면 됩니다.
</p>",3,,,
,,,요일,운동,공부,,,,45001,,,,,,,저는 일요일에 축구를 합니다. 그리고 야구도 합니다.,,,,고향,,,,,0,,,,,,,3,45001,,,,,,,,2011-07-12T20:02:09,,,,,,
,,,이름,가족,나라,2011-04-17T00:00:00,True,international,47001,Elementary,,,,40014,True,"<div class=""boxedpart"">저는 중국에서 왔습니다. 유코 씨는 일본에서 왔습니다.</div>",2,,,나이,22003,read choose topic 3pts,,46001,34,46001,1,,22,,,2,47001,,※ [34~36] 무엇에 대한 이야기입니까? &lt;보기&gt;와 같이 알맞은 것을 고르십시오. (각 3점),4,,False,,31001,2011-07-12T20:02:10,Reading,,3,,True,
,,,갈 줄 몰랐어요,갈 수밖에 없었어요,안 가려고 했어요,2011-04-17T00:00:00,True,international,49049,Intermediate,,,,31002,True,"(4점)
<div class=""boxedpart"">
<div class=""dialogue"">가: 기침을 심하게 하는데 병원은 갔다 왔어요?</div>
<div class=""dialogue"">나: 네. 너무 아파서 <u>가지 않을 수가 없었어요</u>.</div>
</div>",3,,,가지 말았어야 했어요,22003,INTER 24-26 switch underlined,,53052,24,53052,2,,22,,,3,49049,,※ [24~26] 다음 밑줄 친 부분과 바꾸어 쓸 수 있는 것을 고르십시오.,1,,False,,54037,2011-07-21T18:11:20,Vocabulary and Grammar,,4,,True,
,,,하신다기에,하시지 않도록,하신다거나,2011-04-17T00:00:00,True,international,49050,Intermediate,,,51040,31002,True,㉡에 알맞은 것을 고르십시오.,1,,"[55048L, 49050L]",하시면 몰라도,22003,INTER 27-28 read dialogue,,51039,28,51039,2,51040,22,,,1,49050,,※ [27~28] 다음을 읽고 물음에 답하십시오. (각 3점),1,,True,,54037,2011-07-21T18:20:06,Vocabulary and Grammar,"<div class=""dialogue"">가: 어제 처음으로 봉사 활동 갔다 왔는데 힘들지 않았어요?</div>
<div class=""dialogue"">나: 가기 전에는 힘들 것 같아서 걱정했는데 ( ㉠ ) 힘들지도 않고 
보람도 컸어요.</div>
<div class=""dialogue"">가 : 힘들지 않았다니 다행이네요. 그런데 주로 무슨 일을 했어요?</div>
<div class=""dialogue"">나: 할머니들께서 몸이 불편하셔서 큰 빨래를 못 ( ㉡ ) 하루 종일 
빨래를 해 드렸어요.</div>",3,,True,
,,,생각이든지,생각으로 인해,생각치고는,2011-04-17T00:00:00,True,international,49051,Intermediate,,,50049,31002,True,㉠에 알맞은 것을 고르십시오.,3,,"[49051L, 55050L]",생각에 비해서,22003,INTER 29-30 read passage,,56050,29,56050,2,50049,22,,,3,49051,,※ [29~30] 다음을 읽고 물음에 답하십시오. (각 3점),1,,True,,54037,2011-07-21T18:24:57,Vocabulary and Grammar,"<p class=""indent"">
포장이 예쁠수록 받는 사람의 기쁨도 배가 될 거라는 ( ㉠ ) 선물 
포장이 점점 화려해지고 있다. 하지만 포장이 너무 화려해질 경우 선물 
자체의 비용보다 포장 비용이 더 많이 들 수도 있다. 그야말로 ‘( ㉡ )’
고 할 수 있다. 따라서 포장에 필요 이상으로 비용을 들일 필요는 없다.
</p>",3,,True,
,,,잊어버리기만 못한,메모하는 습관이 필요하다는,잊어버려서는 안 된다는,2011-04-17T00:00:00,,international,49054,Intermediate,,,,32007,,"<div class=""boxedpart""><p class=""indent"">
메모하는 습관을 가지면 중요한 약속이나 사실을 잊어버리는 실수를 
줄일 수 있으며 마음의 안정도 가질 수 있다. 자신이 기억해야 할 중요한 
것을 잘 메모해 두면 ( ) 부담감으로부터 자유로워지기 
때문이다. 특히 과거에 비해 기억해야 할 정보가 많은 현대 사회에서는 
메모하는 습관이 더욱 필요해졌다.
</p></div>",,,,메모를 습관적으로 하게 되는,22003,INTER 39-40 fill blank,,54048,39,54048,2,,22,,,2,49054,,※ [39~40] ( )에 가장 알맞은 표현을 고르십시오. (각 4점),2,,False,,54037,2011-07-21T19:38:21,Writing,,4,,,
,,,훨씬,마침,겨우,2011-04-17T00:00:00,,international,50043,Intermediate,,,,31002,,고속 전철이 생기면서 이동 시간이 전보다 ( ) 짧아졌다. (3점),,,,방금,22003,INTER 1-5 choose word,,49044,2,49044,2,,22,,,1,50043,,※ [1~5] 다음 ( )에 알맞은 것을 고르십시오.,1,,False,,54037,2011-07-20T22:28:53,Vocabulary and Grammar,,3,,,
,,,직접 가 보면 좋을 거예요,여행 한번 가는 게 쉽지 않네요,이번에는 가기 힘들 것 같아서요,2011-04-17T00:00:00,True,international,50053,Intermediate,,,,32007,True,"<div class=""dialogue"">가: 이번 방학 때 가까운 곳에 여행이라도 다녀오세요.</div>
<div class=""dialogue"">나: 안 그래도 ________________________.</div>",4,,,갈 만한 곳을 찾아보는 중이에요,22003,INTER 31-34 complete sentence,,50052,32,50052,2,,22,,,4,50053,,※ [31~34] 빈칸에 가장 알맞은 것을 고르십시오. (각 4점),2,,False,,54037,2011-07-21T19:21:57,Writing,,4,,True,
,,,날씨만 좋을 뿐이지,날씨가 오늘처럼만 좋다면,날씨를 보니 취소되겠지만,2011-04-17T00:00:00,True,international,50054,Intermediate,,,,32007,True,"<div class=""dialogue"">가: 내일 오전에 배를 탈 수 있을까요?</div>
<div class=""dialogue"">나: ________________________ 괜찮을 것 같습니다.</div>",3,,,날씨는 내일 되어 봐야 아는 거니까,22003,INTER 31-34 complete sentence,,50052,33,50052,2,,22,,,3,50054,,※ [31~34] 빈칸에 가장 알맞은 것을 고르십시오. (각 4점),2,,False,,54037,2011-07-21T19:23:42,Writing,,4,,True,
,,,신분증을 내놓는다.,도서관에서 잡지를 읽는다.,잡지책을 복사하러 간다.,2011-04-17T00:00:00,True,international,50068,Intermediate,t22-l2-p3b-q18-d,,,36001,True,(3점),2,"<div class=""dialogue"">남자: 이 책들 좀 대출 받으려고 하는데요.</div>
<div class=""dialogue"">여자: 신분증 주시고 책들 여기에 올려놓으세요.</div>
<div class=""dialogue"">남자: 네, 신분증 여기 있습니다. (책 올려놓는 소리)</div>
<div class=""dialogue"">여자: 어, 이건 다 잡지들이네요. 
죄송하지만 잡지는 대출이 불가능하고요. 
도서관 내에서만 보실 수 있어요.</div>
<div class=""dialogue"">남자: 어, 나 이 잡지 꼭 필요한데······.</div>
<div class=""dialogue"">여자: 복사는 가능해요. 
저쪽에 있는 복사기 보이시지요? 
그거 이용하시면 돼요.</div>
<div class=""dialogue"">남자: (다행이라는 목소리로) 아, 네. 감사합니다.</div>",,복사할 자료를 더 찾아본다.,22003,INTERLIST 18-20 boy action,t22-l2-p3b-q19,56060,19,56060,2,,22,,,2,50068,,※ [18~20] 다음 대화를 듣고 남자가 할 행동으로 알맞은 것을 고르십시오.,3,,False,,54037,2011-07-26T18:10:14,Listening,,3,,True,
,,,회의 자료를 받으러 간다.,회의실의 컴퓨터를 작동시켜 본다.,영업부에 회의 자료를 요청한다.,2011-04-17T00:00:00,True,international,50069,Intermediate,t22-l2-p3b-q18-d,,,36001,True,(4점),3,"<div class=""dialogue"">여자: 민수 씨, 오늘 회의 준비는 끝났나요?</div>
<div class=""dialogue"">남자: 영업부 자료 빼고는 다 준비가 되었습니다.</div>
<div class=""dialogue"">여자: 영업부 자료는 벌써 제가 받았어요. 
회의실은 다 확인하셨죠?</div>
<div class=""dialogue"">남자: 좀 전에 컴퓨터랑 마이크를 확인해 봤는데 문제없었습니다.</div>
<div class=""dialogue"">여자: 영상 자료가 제대로 나오는지 컴퓨터는 한 번만 더 확인해 주세요. 
회의 중에 문제가 생기면 안 되니까요.</div>
<div class=""dialogue"">남자: 네, 알겠습니다.</div>",,회의실의 마이크 상태를 확인한다.,22003,INTERLIST 18-20 boy action,t22-l2-p3b-q20,56060,20,56060,2,,22,,,3,50069,,※ [18~20] 다음 대화를 듣고 남자가 할 행동으로 알맞은 것을 고르십시오.,3,,False,,54037,2011-07-26T18:12:44,Listening,,4,,True,
